comparison,target,model,min_rating_count_filter,pr_auc_left,pr_auc_right,pr_auc_delta,precision_at_10_delta,lift_at_10_delta
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_category_relative,LogisticRegression,25,0.5087739874216992,0.5353944182812448,0.026620430859545574,0.044594594594594694,0.1584610718323085
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_category_m25,LogisticRegressionBalanced,25,0.5402549765472059,0.566754365199133,0.026499388651927136,0.031081081081081097,0.10713576105779454
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_category_m25,XGBoostClassifier,25,0.5530535475957631,0.5795487625961533,0.026495215000390204,0.02837837837837842,0.0977672884924159
content_only_core -> content_plus_reliability,low_rating_bottom30_raw,XGBoostClassifier,25,0.5244832728683195,0.5507800366389182,0.02629676377059864,0.04054054054054046,0.15345268542199486
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_category_m25,LogisticRegression,25,0.543664651894455,0.5699428939211933,0.02627824202673834,0.04054054054054057,0.13903886490785622
content_only_core -> content_plus_reliability,low_rating_bottom30_category_relative,HistGradientBoostingClassifier,25,0.5201020837856032,0.5462437970723563,0.026141713286753077,0.03378378378378377,0.11984809146336595
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_category_relative,LogisticRegressionBalanced,25,0.5072483987526419,0.5332182202906057,0.02596982153796379,0.043243243243243135,0.15339884044676433
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_category_relative,LogisticRegressionBalanced,25,0.5076312858727441,0.533442573354398,0.025811287481653955,0.032432432432432434,0.11512132848504208
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom20_raw,XGBoostClassifier,25,0.421063881129572,0.44682844453474574,0.025764563405173746,0.03378378378378377,0.2010013495028029
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_raw,XGBoostClassifier,0,0.5016213002892718,0.5259664671446627,0.0243451668553909,0.030258302583025753,0.1001449818659752
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_category_m25,HistGradientBoostingClassifier,0,0.5160142286652334,0.5397793631117075,0.0237651344464741,0.01697416974169741,0.05728086174595415
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom20_raw,ExtraTreesClassifier,0,0.39780262606001593,0.4207455697868359,0.022942943726819987,0.024354243542435428,0.10995951059135711
content_only_core -> content_plus_reliability,low_rating_bottom30_category_relative,XGBoostClassifier,25,0.5305818625294381,0.55336584309625,0.022783980566811968,0.0175675675675675,0.06260476408687454
