seed,target,feature_set,model,min_rating_count_filter,n_obs,positive_class_share,pr_auc,roc_auc,precision_at_5,precision_at_10,precision_at_20,recall_at_5,recall_at_10,recall_at_20,lift_at_5,lift_at_10,lift_at_20,default_f1,tuned_f1,best_threshold,brier_score
11,low_rating_bottom30_raw,content_only_core,DummyClassifier,0,2704,0.3021449704142012,0.3021449704142012,0.5,0.2647058823529412,0.2693726937269373,0.27726432532347506,0.044063647490820076,0.08935128518971848,0.1835985312117503,0.8760889912880697,0.8915345946605121,0.9176532872395062,0.0,0.4640727066174382,0.05,0.21085341472016078
11,low_rating_bottom30_raw,content_only_core,LogisticRegression,0,2704,0.3021449704142012,0.48086504806299557,0.6786724084585702,0.5808823529411765,0.5682656826568265,0.4953789279112754,0.0966952264381885,0.18849449204406366,0.32802937576499386,1.922528619771042,1.880771610653683,1.6395405398679177,0.3537082314588427,0.4960238568588469,0.3,0.19497345930119453
11,low_rating_bottom30_raw,content_only_core,LogisticRegressionBalanced,0,2704,0.3021449704142012,0.4791307600866834,0.6786380303552166,0.5955882352941176,0.5719557195571956,0.4953789279112754,0.09914320685434516,0.189718482252142,0.32802937576499386,1.9712002303981568,1.8929844133202656,1.6395405398679177,0.4992466097438473,0.5052344105598543,0.45,0.22456581235753884
11,low_rating_bottom30_raw,content_only_core,HistGradientBoostingClassifier,0,2704,0.3021449704142012,0.4750372381215622,0.6719991645472241,0.6470588235294118,0.5940959409594095,0.5101663585951941,0.10771113831089352,0.19706242350061198,0.3378212974296206,2.1415508675930592,1.9662612293197594,1.6884820485206913,0.2675521821631879,0.462406015037594,0.35,0.19354498048917473
11,low_rating_bottom30_raw,content_only_core,ExtraTreesClassifier,0,2704,0.3021449704142012,0.47663513093722454,0.6778324151785164,0.5955882352941176,0.5682656826568265,0.5157116451016636,0.09914320685434516,0.18849449204406366,0.34149326805385555,1.9712002303981568,1.880771610653683,1.7068351142654814,0.313588850174216,0.22924901185770752,0.55,0.1995804399330076
11,low_rating_bottom30_raw,content_only_core,XGBoostClassifier,0,2704,0.3021449704142012,0.4899059002846,0.6830403735148497,0.6323529411764706,0.6014760147601476,0.5249537892791127,0.10526315789473684,0.19951040391676866,0.34761321909424725,2.092879256965944,1.990686834652924,1.7374235571734649,0.3101893597835888,0.4679245283018868,0.35,0.1917009949684143
11,low_rating_bottom20_raw,content_only_core,DummyClassifier,0,2704,0.21967455621301776,0.21967455621301776,0.5,0.18382352941176472,0.18450184501845018,0.20147874306839186,0.04208754208754209,0.08417508417508418,0.1835016835016835,0.8367993662111309,0.8398871867506553,0.917169227705272,0.0,0.3602183141297756,0.05,0.1714606209125423
11,low_rating_bottom20_raw,content_only_core,LogisticRegression,0,2704,0.21967455621301776,0.36436392678260915,0.6725597204270191,0.5,0.4317343173431734,0.37707948243992606,0.11447811447811448,0.19696969696969696,0.3434343434343434,2.276094276094276,1.9653360169965335,1.7165369032282156,0.21635220125786164,0.41494845360824745,0.25,0.16344555265070204
11,low_rating_bottom20_raw,content_only_core,LogisticRegressionBalanced,0,2704,0.21967455621301776,0.35860760195318653,0.6737605119121707,0.49264705882352944,0.44280442804428044,0.36968576709796674,0.1127946127946128,0.20202020202020202,0.3367003367003367,2.242622301445831,2.015729248201573,1.6828793168904075,0.4233055885850178,0.4233055885850178,0.5,0.22344471986093417
11,low_rating_bottom20_raw,content_only_core,HistGradientBoostingClassifier,0,2704,0.21967455621301776,0.3856176351919692,0.6797293631416854,0.5220588235294118,0.45387453874538747,0.39926062846580407,0.11952861952861953,0.20707070707070707,0.36363636363636365,2.3765102000396117,2.066122479406612,1.81750966224164,0.12121212121212122,0.37488789237668163,0.3,0.15859495024944592
11,low_rating_bottom20_raw,content_only_core,ExtraTreesClassifier,0,2704,0.21967455621301776,0.36481021699487176,0.6656134807793577,0.47794117647058826,0.4317343173431734,0.3752310536044362,0.10942760942760943,0.19696969696969696,0.34175084175084175,2.1756783521489402,1.9653360169965335,1.7081225066437633,0.2147477360931436,0.13623188405797101,0.55,0.17062060879617158
11,low_rating_bottom20_raw,content_only_core,XGBoostClassifier,0,2704,0.21967455621301776,0.38978331789507864,0.6835200344679018,0.5808823529411765,0.45387453874538747,0.3955637707948244,0.132996632996633,0.20707070707070707,0.3602693602693603,2.6442859972271737,2.066122479406612,1.8006808690727358,0.1867043847241867,0.38676844783715014,0.3,0.1579504758119583
