target,feature_set,model,min_rating_count_filter,n_obs_mean,n_obs_std,n_runs,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std,pearson_mean,pearson_std
continuous_base_rating,content_only_core,DummyRegressor,0,2704.0,0.0,5,0.41859027793386216,0.02000453570886403,0.28428189585536123,0.006942507531068329,-0.00017470897374072258,0.0002679809224760619,,,-9.370434034531713e-16,6.662239961798824e-16
continuous_base_rating,content_only_core,DummyRegressor,25,1480.0,0.0,5,0.2461800996430758,0.006620258813121378,0.18657987043838967,0.0037626429544031846,-0.00018717833546362251,0.0003495938407491935,,,1.2682266983667044e-15,1.090445001663879e-15
continuous_base_rating,content_only_core,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.4054618572135946,0.01921668442222214,0.2685118454693571,0.007039054517500094,0.06153559781411155,0.007308645081578175,0.2894759158702897,0.020674249950947098,0.2527546231848051,0.016148837264856
continuous_base_rating,content_only_core,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.21667119228608328,0.006955594694434998,0.15923603037086748,0.004810322568506745,0.22522051755829003,0.01934179317486906,0.4885410583290966,0.01799404133911616,0.4749040352997276,0.020465031843850734
continuous_base_rating,content_only_core,Ridge,0,2704.0,0.0,5,0.40698544045776053,0.020296084262962734,0.27050815778365556,0.007609692083315681,0.05465704514488119,0.0075841309600183215,0.2996753627116706,0.01316199880183067,0.2544952858515817,0.014105260823506023
continuous_base_rating,content_only_core,Ridge,25,1480.0,0.0,5,0.21675468033193143,0.005512131087593727,0.16134868189835963,0.003262581835380845,0.22455911988523045,0.005692464021861603,0.49781359131359865,0.007075468414811148,0.4794370560984505,0.004529297211247667
continuous_base_rating,content_plus_quantity,DummyRegressor,0,2704.0,0.0,5,0.41859027793386216,0.02000453570886403,0.28428189585536123,0.006942507531068329,-0.00017470897374072258,0.0002679809224760619,,,-9.370434034531713e-16,6.662239961798824e-16
continuous_base_rating,content_plus_quantity,DummyRegressor,25,1480.0,0.0,5,0.2461800996430758,0.006620258813121378,0.18657987043838967,0.0037626429544031846,-0.00018717833546362251,0.0003495938407491935,,,1.2682266983667044e-15,1.090445001663879e-15
continuous_base_rating,content_plus_quantity,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.4048857220746001,0.019004998625610614,0.26823798429212764,0.006928931236251598,0.0641587344920644,0.008676000670612631,0.29118817267363184,0.022161899547153082,0.2576600187214729,0.017839737083274933
continuous_base_rating,content_plus_quantity,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.2163122314314855,0.006757050499644615,0.15856112588985996,0.004783810460645386,0.22780949612474308,0.016089816136380653,0.49384826000696275,0.015424189694845651,0.47770729722074157,0.01703612001128016
continuous_base_rating,content_plus_quantity,Ridge,0,2704.0,0.0,5,0.40889576038327446,0.0196672030881136,0.271475278243503,0.007354153683696672,0.04563199666548712,0.0060722391728207075,0.29618607948409237,0.011651140218009974,0.24585412274227192,0.012015245914884268
continuous_base_rating,content_plus_quantity,Ridge,25,1480.0,0.0,5,0.21667483966119408,0.0057758832280497335,0.16107031509802633,0.003320601411468355,0.22516290322594484,0.006977008721660394,0.5002251463309423,0.004460689470084966,0.48070205456882553,0.005767269712335323
continuous_base_rating,content_plus_reliability,DummyRegressor,0,2704.0,0.0,5,0.41859027793386216,0.02000453570886403,0.28428189585536123,0.006942507531068329,-0.00017470897374072258,0.0002679809224760619,,,-9.370434034531713e-16,6.662239961798824e-16
continuous_base_rating,content_plus_reliability,DummyRegressor,25,1480.0,0.0,5,0.2461800996430758,0.006620258813121378,0.18657987043838967,0.0037626429544031846,-0.00018717833546362251,0.0003495938407491935,,,1.2682266983667044e-15,1.090445001663879e-15
continuous_base_rating,content_plus_reliability,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.40182695715457173,0.018683338569606866,0.2657178885636088,0.00742760562768001,0.07823248799928786,0.004148464239087156,0.2890886843332807,0.020312794690107227,0.28563724022102377,0.011850362481871324
continuous_base_rating,content_plus_reliability,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.21312829879847545,0.006636166794445699,0.15605198866611752,0.005129239526554031,0.2504330489521342,0.01153970171382772,0.5066273572581836,0.01490936586844164,0.5012275075656701,0.011871096317611674
continuous_base_rating,content_plus_reliability,Ridge,0,2704.0,0.0,5,0.4032803171336218,0.019910406025760826,0.2684269853570531,0.007822904669637932,0.07176118852749239,0.00574346423994837,0.2941755517450334,0.014614643720840237,0.28258911371256523,0.010509768431217925
continuous_base_rating,content_plus_reliability,Ridge,25,1480.0,0.0,5,0.2129333432695862,0.005390830577479876,0.1584932074602181,0.0030064911008605144,0.2516641461897118,0.0042696151837097115,0.5152511602188857,0.010876026711469535,0.5064670964243899,0.0024471733746168436
continuous_base_rating,content_quantity_interactions,DummyRegressor,0,2704.0,0.0,5,0.41859027793386216,0.02000453570886403,0.28428189585536123,0.006942507531068329,-0.00017470897374072258,0.0002679809224760619,,,-9.370434034531713e-16,6.662239961798824e-16
continuous_base_rating,content_quantity_interactions,DummyRegressor,25,1480.0,0.0,5,0.2461800996430758,0.006620258813121378,0.18657987043838967,0.0037626429544031846,-0.00018717833546362251,0.0003495938407491935,,,1.2682266983667044e-15,1.090445001663879e-15
continuous_base_rating,content_quantity_interactions,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.4047242924808193,0.018678379011219687,0.2680335173024441,0.00621040823601159,0.06485886182596265,0.006525391161577075,0.2940293259326755,0.01835492342333219,0.2580738143544784,0.015765676620369054
continuous_base_rating,content_quantity_interactions,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.21657716237415733,0.006837965613888082,0.15904965375495594,0.0046435624697445,0.22591206847131834,0.017251597385550686,0.4904330917191033,0.019511831442265364,0.47559425215422024,0.018363286228353707
continuous_base_rating,content_quantity_interactions,Ridge,0,2704.0,0.0,5,0.40901552442245387,0.019970954971234654,0.2715082634941556,0.007508958305020858,0.0451295781371873,0.00585017947312473,0.29656167843579767,0.011543229714100276,0.24564617237074624,0.012861140983613326
continuous_base_rating,content_quantity_interactions,Ridge,25,1480.0,0.0,5,0.21658625980321317,0.005627277850448789,0.161030195149926,0.0032012939462273174,0.22576934814952923,0.007581828605868651,0.5008752273409586,0.004196299375820427,0.4813911310654083,0.005980221372989092
continuous_base_rating,content_quantity_plus_reliability,DummyRegressor,0,2704.0,0.0,5,0.41859027793386216,0.02000453570886403,0.28428189585536123,0.006942507531068329,-0.00017470897374072258,0.0002679809224760619,,,-9.370434034531713e-16,6.662239961798824e-16
continuous_base_rating,content_quantity_plus_reliability,DummyRegressor,25,1480.0,0.0,5,0.2461800996430758,0.006620258813121378,0.18657987043838967,0.0037626429544031846,-0.00018717833546362251,0.0003495938407491935,,,1.2682266983667044e-15,1.090445001663879e-15
continuous_base_rating,content_quantity_plus_reliability,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.40144731598653804,0.01854891404172529,0.26531426428422505,0.007332510777735011,0.07994937217901661,0.005124615476145362,0.29018233389986003,0.025941021404421144,0.28715102868987863,0.013414543900299648
continuous_base_rating,content_quantity_plus_reliability,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.21309446187926193,0.005679600565110616,0.15587251171189398,0.003859897568995181,0.250530839235436,0.009837513325939127,0.5073682862837288,0.008126820624186935,0.5016529308458171,0.010372201574221824
continuous_base_rating,content_quantity_plus_reliability,Ridge,0,2704.0,0.0,5,0.40486056296583567,0.020027987935200033,0.26930932678552294,0.007604091463221802,0.06447123867369733,0.007575115786916084,0.2915016878065404,0.013054997663856267,0.2750038921426231,0.012054166087822931
continuous_base_rating,content_quantity_plus_reliability,Ridge,25,1480.0,0.0,5,0.21295927229986242,0.0056355434744543055,0.1583841887052697,0.0030950352797603185,0.25149865780328345,0.007496884328249969,0.5173632627487881,0.009538225797723145,0.5069514828196191,0.00540524239425345
continuous_base_rating,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704.0,0.0,5,0.41859027793386216,0.02000453570886403,0.28428189585536123,0.006942507531068329,-0.00017470897374072258,0.0002679809224760619,,,-9.370434034531713e-16,6.662239961798824e-16
continuous_base_rating,full_content_quantity_interactions_plus_reliability,DummyRegressor,25,1480.0,0.0,5,0.2461800996430758,0.006620258813121378,0.18657987043838967,0.0037626429544031846,-0.00018717833546362251,0.0003495938407491935,,,1.2682266983667044e-15,1.090445001663879e-15
continuous_base_rating,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.40184548084823357,0.018087902625452464,0.26540505923693236,0.0068942890916289775,0.07803420493111284,0.005884892660874367,0.2895711761964205,0.02085834598007667,0.2847298098711052,0.014098714278179311
continuous_base_rating,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.2138975576890393,0.006170712360822238,0.1565777339112951,0.0043169332369890415,0.2449658320980593,0.0077768491136592285,0.5026556619176034,0.009723044422573802,0.49565255850204026,0.008072292724036869
continuous_base_rating,full_content_quantity_interactions_plus_reliability,Ridge,0,2704.0,0.0,5,0.4049845441441627,0.02027496839986039,0.2693028297142087,0.007761099843883735,0.06394311533961303,0.0076578956114882945,0.29211121143695407,0.012483870022240188,0.2747102631473745,0.012784964215042292
