threshold,flagged_share,precision,recall,f1,rank,target,feature_set,model,min_rating_count_filter
0.65,0.0722972972972973,0.7009345794392523,0.1744186046511628,0.27932960893854747,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
0.7,0.043243243243243246,0.796875,0.1186046511627907,0.20647773279352227,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
0.75,0.021621621621621623,0.78125,0.05813953488372093,0.10822510822510822,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
0.8,0.010810810810810811,0.875,0.03255813953488372,0.06278026905829596,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
0.85,0.0033783783783783786,1.0,0.011627906976744186,0.022988505747126436,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
0.9,0.0,0.0,0.0,0.0,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
0.95,0.0,0.0,0.0,0.0,2,low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25
0.05,0.9202702702702703,0.3120411160058737,0.9883720930232558,0.47433035714285715,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.1,0.7885135135135135,0.34704370179948585,0.9418604651162791,0.5072010018785222,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.15,0.6567567567567567,0.3888888888888889,0.8790697674418605,0.5392296718972895,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.2,0.5405405405405406,0.4225,0.786046511627907,0.5495934959349593,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.25,0.45,0.466966966966967,0.7232558139534884,0.5675182481751825,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
