target,feature_set,model,min_rating_count_filter,n_obs_mean,n_obs_std,n_runs,positive_class_share_mean,positive_class_share_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,precision_at_5_mean,precision_at_5_std,precision_at_10_mean,precision_at_10_std,precision_at_20_mean,precision_at_20_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std,recall_at_20_mean,recall_at_20_std,lift_at_5_mean,lift_at_5_std,lift_at_10_mean,lift_at_10_std,lift_at_20_mean,lift_at_20_std,default_f1_mean,default_f1_std,tuned_f1_mean,tuned_f1_std,best_threshold_mean,best_threshold_std,brier_score_mean,brier_score_std
low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25,1480.0,0.0,5,0.2913513513513514,0.0027611914515814164,0.5839782709744812,0.005522985419224563,0.7696656107186779,0.005482300293888121,0.7648648648648649,0.012086853932431243,0.6797297297297298,0.015555222207055823,0.6141891891891892,0.018870594653741815,0.13128141300987434,0.003053722825742447,0.23335865757320687,0.0075200221044245275,0.42170656024568415,0.01574787223043339,2.6256282601974865,0.06107445651484888,2.3335865757320686,0.07520022104424527,2.108532801228421,0.07873936115216708,0.4298868486791947,0.018540338940741957,0.5305272447648725,0.01349754951733095,0.4,0.0,0.1670413851737976,0.0019701279366192205
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25,1480.0,0.0,5,0.2913513513513514,0.0027611914515814164,0.5795487625961533,0.0071420043717373765,0.7678269592115188,0.006289716257398459,0.754054054054054,0.029296599173890263,0.6716216216216216,0.02810355992308838,0.6,0.011102484273753335,0.12940886543404323,0.0049279181345304995,0.2305860576139906,0.011241977427985838,0.4119527209688707,0.011175742835606645,2.588177308680865,0.09855836269060982,2.305860576139906,0.11241977427985829,2.0597636048443535,0.055878714178033265,0.4304280006250785,0.020288557350159078,0.5285382961131142,0.007088785616697216,0.4,0.0,0.1678306370973587,0.002450035429951729
low_rating_bottom30_bayes_global_m25,content_plus_quantity,XGBoostClassifier,25,1480.0,0.0,5,0.31324324324324326,0.004932895202282159,0.5716487848880702,0.018775944549393866,0.7443754014219651,0.008585077962458684,0.754054054054054,0.047200673504251285,0.6797297297297298,0.032263071314360334,0.6108108108108109,0.018718777266479806,0.12032805286446598,0.006600979399736856,0.2169655564458544,0.008909650992150953,0.3901103838996281,0.014855166648274404,2.406561057289319,0.13201958799473726,2.169655564458544,0.08909650992150933,1.9505519194981402,0.07427583324137198,0.42823495198181866,0.02658465840460589,0.5243416689513641,0.013509161786962279,0.4,0.0,0.18053093254566194,0.0021342213167921875
low_rating_bottom30_bayes_global_m25,content_quantity_interactions,ExtraTreesClassifier,25,1480.0,0.0,5,0.31324324324324326,0.004932895202282159,0.5680610231469485,0.024880102791522356,0.738492312470377,0.00764200825866678,0.7513513513513514,0.05701357597224051,0.6756756756756757,0.04872366588464847,0.597972972972973,0.026815047071600585,0.1198728447855738,0.007924567704366352,0.2155637744268144,0.01246138838025221,0.3816633840828766,0.011401784789836366,2.3974568957114757,0.15849135408732665,2.155637744268144,0.12461388380252189,1.9083169204143828,0.057008923949181785,0.4406704519317346,0.009002143944685195,0.3136014662039698,0.08364167618761523,0.55,0.035355339059327376,0.1908873817724636,0.001459757310583542
low_rating_bottom30_bayes_global_m25,content_only_core,ExtraTreesClassifier,25,1480.0,0.0,5,0.31324324324324326,0.004932895202282159,0.5664133269838517,0.02485126789088808,0.738321007433664,0.01015488317203334,0.745945945945946,0.04909703276914847,0.6756756756756757,0.03607121031091658,0.5986486486486486,0.021552889064508904,0.11903027262644794,0.006817647930512538,0.21560389092070933,0.008178507944233141,0.38214163272244156,0.008324066136383541,2.3806054525289584,0.13635295861025068,2.1560389092070933,0.08178507944233142,1.9107081636122074,0.04162033068191766,0.44476703134065954,0.010327842597931795,0.32727280828086963,0.08428553299366946,0.55,0.03535533905932735,0.1912465671368164,0.00186949692950727
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,0,2704.0,0.0,5,0.29770710059171596,0.0029119851605073142,0.5500532222572883,0.02878998661261832,0.7350616052267396,0.012443554484974641,0.7367647058823529,0.06376318643729059,0.6708487084870849,0.040707646850248295,0.589648798521257,0.019779052272673472,0.12442191014402808,0.009934658085534008,0.22577733070754452,0.012084792887833871,0.3962503395512321,0.011720961342178938,2.473800331098911,0.19752437840649983,2.2527745469859797,0.12058036888820213,1.9805192572024612,0.058583141347970116,0.38316859133167364,0.015222907538417933,0.5255765499639896,0.012032175635789764,0.35,0.0,0.17770765125751495,0.0033314286257239947
low_rating_bottom30_bayes_category_m25,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,0,2704.0,0.0,5,0.29770710059171596,0.0029119851605073142,0.5464289707135497,0.02235834229582918,0.7319046069480157,0.010369583888521336,0.7294117647058823,0.06397481392398884,0.6619926199261993,0.025777489589037597,0.5829944547134935,0.024298228059378923,0.12319814198007237,0.010256402803569436,0.2228153140976136,0.006797608875758484,0.3917609979765556,0.014468283290267588,2.4494689405449686,0.20392142044743958,2.223219960590211,0.06782558819206992,1.958080847557498,0.07231467285930421,0.3810801077728391,0.010488668356987708,0.5208813699492585,0.010544081164484824,0.35,0.0,0.17842715382575988,0.0027707640453614236
low_rating_bottom30_bayes_category_m25,content_plus_quantity,XGBoostClassifier,0,2704.0,0.0,5,0.29770710059171596,0.0029119851605073142,0.535793289497619,0.017337428872934643,0.7174446838799178,0.008635345973100034,0.7161764705882353,0.045801210301168925,0.6538745387453875,0.02898499909469447,0.5715341959334566,0.018777708094935716,0.12095266759652916,0.006751371467082003,0.2200872445646492,0.008286824303361426,0.3840550582689751,0.010068395051599061,2.4048236263309914,0.13423315034551264,2.1959996653240275,0.08268477090881661,1.9195653929007555,0.05032336454625485,0.3622544056737305,0.015323118594438818,0.5146141316268164,0.011237753863391115,0.35,0.0,0.18133596777915956,0.0020951398180504774
low_rating_bottom30_bayes_category_m25,content_quantity_interactions,XGBoostClassifier,0,2704.0,0.0,5,0.29770710059171596,0.0029119851605073142,0.5310435600784416,0.018892489311306937,0.7146112057932031,0.008862181750096733,0.7191176470588235,0.04748201262047923,0.6509225092250922,0.025378227105607967,0.5670979667282809,0.021690507078308253,0.12145966449777941,0.00724680442216681,0.21909497995574118,0.006957297624857725,0.38104411204052574,0.011216647925470658,2.4149039176617313,0.14408352321719894,2.186098988193078,0.06941894013880179,1.9045162272783394,0.05606250645189009,0.36451310120839137,0.01050934053676666,0.5040101433874662,0.011659395245643052,0.35,0.0,0.18213342726230622,0.001949820498863238
low_rating_bottom30_bayes_category_m25,content_only_core,XGBoostClassifier,0,2704.0,0.0,5,0.29770710059171596,0.0029119851605073142,0.5304858871138397,0.022318006714697088,0.7161125497449772,0.012534869194270716,0.6867647058823529,0.05083642946306942,0.6523985239852399,0.03167848860713619,0.5726432532347505,0.021925514014356703,0.11598455776556849,0.00777231633915737,0.21959032533996603,0.00933533034621723,0.38481082649193754,0.013041204571339615,2.3060459132213027,0.1545319366255995,2.1910414749788494,0.09314661718144433,1.9233428370317909,0.0651819171181189,0.36351975349573956,0.01492115231601538,0.5058287384976122,0.016461438439609163,0.35,0.0,0.18189650774002075,0.0027182336411281155
