seed,target,feature_set,model,min_rating_count_filter,n_obs,rmse,mae,r2,spearman,pearson
33,continuous_bayes_global_m25,content_only_core,HistGradientBoostingRegressor,0,2704,0.1338712140890065,0.09778985911931352,0.18829808106345258,0.38524353697827146,0.43428634272919664
33,continuous_category_residual,content_only_core,DummyRegressor,0,2704,0.42342225284842994,0.2840782844471857,-5.181500724038557e-07,,1.5902808329194858e-17
33,continuous_category_residual,content_only_core,Ridge,0,2704,0.4136294908472267,0.2734308294467832,0.045719918891711786,0.27411272873294273,0.23862401171000588
33,continuous_category_residual,content_only_core,HistGradientBoostingRegressor,0,2704,0.41161217108749687,0.27219437311931033,0.05500549289347967,0.26852621105265717,0.23804729946348427
44,continuous_base_rating,content_only_core,DummyRegressor,0,2704,0.43085962838962566,0.290176568003555,-9.046226727638107e-05,,-1.4081349089411666e-15
44,continuous_base_rating,content_only_core,Ridge,0,2704,0.4196190521343638,0.27375083183007837,0.05141101517059388,0.31258032330908786,0.24517290806985753
44,continuous_base_rating,content_only_core,HistGradientBoostingRegressor,0,2704,0.41630901850342256,0.2698659273936153,0.06631728560049666,0.3132139983178518,0.25950515685593695
44,continuous_bayes_global_m25,content_only_core,DummyRegressor,0,2704,0.14924609555450863,0.10907473719659637,-0.0011050260611122908,,6.271484555038345e-15
44,continuous_bayes_global_m25,content_only_core,Ridge,0,2704,0.13446862745700472,0.10050933483317197,0.18732737805151145,0.4122939011995805,0.4367100666870812
44,continuous_bayes_global_m25,content_only_core,HistGradientBoostingRegressor,0,2704,0.13329196054741219,0.09794713099405812,0.20148772448504249,0.4229962878652151,0.45079882254677406
44,continuous_category_residual,content_only_core,DummyRegressor,0,2704,0.4293409446170198,0.2886705160440507,-7.949299453446912e-05,,1.224132605310319e-17
44,continuous_category_residual,content_only_core,Ridge,0,2704,0.41961920479450177,0.2737510338417705,0.04469814757190449,0.3063917369351426,0.231986600951045
44,continuous_category_residual,content_only_core,HistGradientBoostingRegressor,0,2704,0.4157185427619355,0.2714100043683312,0.0623760339034114,0.30148212422642545,0.25193148336956184
55,continuous_base_rating,content_only_core,DummyRegressor,0,2704,0.4373023202029097,0.2914038094862819,-0.0006476089972884402,,
55,continuous_base_rating,content_only_core,Ridge,0,2704,0.424828625283555,0.2796293507786395,0.055623561720640646,0.2872782616928869,0.25022272154757724
55,continuous_base_rating,content_only_core,HistGradientBoostingRegressor,0,2704,0.4219074740954711,0.2766533984401826,0.06856610749160141,0.3077399467737939,0.2739922625246147
55,continuous_bayes_global_m25,content_only_core,DummyRegressor,0,2704,0.15559610479831926,0.11141422100795129,-8.312417619560364e-05,,-1.3289498509260756e-15
55,continuous_bayes_global_m25,content_only_core,Ridge,0,2704,0.1421596193850028,0.10509968474558333,0.16518323584310968,0.38210840377434335,0.41069298261721954
55,continuous_bayes_global_m25,content_only_core,HistGradientBoostingRegressor,0,2704,0.1395756600317441,0.10075872881678749,0.19525546131358862,0.42041090797823527,0.44624428641826563
55,continuous_category_residual,content_only_core,DummyRegressor,0,2704,0.43501206535483083,0.2893717878587062,-0.0005616042940821409,,-8.685843176955561e-18
55,continuous_category_residual,content_only_core,Ridge,0,2704,0.424828471066299,0.27962930126389673,0.045736182705121475,0.27409637070733944,0.23240534650832126
55,continuous_category_residual,content_only_core,HistGradientBoostingRegressor,0,2704,0.4208953651760873,0.27574163302711774,0.06332373647218725,0.2920922458262791,0.2602084802926056
11,continuous_base_rating,content_plus_reliability,DummyRegressor,0,2704,0.4126741212889142,0.278460816055796,-1.752065936866387e-05,,
11,continuous_base_rating,content_plus_reliability,Ridge,0,2704,0.39896200606524346,0.26374160932701346,0.06533449131622171,0.29843128988847845,0.27605899297030045
11,continuous_base_rating,content_plus_reliability,HistGradientBoostingRegressor,0,2704,0.3971590185956236,0.257907091587219,0.07376327562421658,0.29040902442088695,0.2719258290161049
11,continuous_bayes_global_m25,content_plus_reliability,DummyRegressor,0,2704,0.14877674364980104,0.1065308004729343,-0.0007505450069309472,,
11,continuous_bayes_global_m25,content_plus_reliability,Ridge,0,2704,0.13223067897775423,0.09610870030071411,0.2094666547701216,0.47079315412476935,0.46385951382966134
