target,feature_set,model,min_rating_count_filter,n_obs_mean,n_obs_std,n_runs,positive_class_share_mean,positive_class_share_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,precision_at_5_mean,precision_at_5_std,precision_at_10_mean,precision_at_10_std,precision_at_20_mean,precision_at_20_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std,recall_at_20_mean,recall_at_20_std,lift_at_5_mean,lift_at_5_std,lift_at_10_mean,lift_at_10_std,lift_at_20_mean,lift_at_20_std,default_f1_mean,default_f1_std,tuned_f1_mean,tuned_f1_std,best_threshold_mean,best_threshold_std,brier_score_mean,brier_score_std
low_rating_bottom20_raw,content_only_core,DummyClassifier,0,2704.0,0.0,5,0.22241124260355027,0.003209155791407777,0.22241124260355027,0.003209155791407777,0.5,0.0,0.21323529411764705,0.041594516540385144,0.21180811808118083,0.028053989385606215,0.21811460258780038,0.013893989259124688,0.04829024704184182,0.00994965649409704,0.09548776215515269,0.01310159719283814,0.19611734672566944,0.01012770032493719,0.9601237353025021,0.19782258205910588,0.9527635013562099,0.1307258996658094,0.9802242246695198,0.05061978129136811,0.0,0.0,0.36388036991770767,0.004296329488274154,0.05,0.0,0.17295894283893273,0.0017559609475664903
low_rating_bottom20_raw,content_only_core,DummyClassifier,25,1480.0,0.0,5,0.16905405405405405,0.008485044635648963,0.16905405405405405,0.008485044635648963,0.5,0.0,0.17027027027027025,0.05198752449100362,0.16216216216216217,0.01584599918859266,0.17162162162162162,0.011555832011139898,0.0503060753614321,0.014658523212348751,0.0959344882510841,0.008243175594045518,0.20331666743095952,0.014557874860834069,1.006121507228642,0.293170464246975,0.959344882510841,0.08243175594045517,1.0165833371547977,0.07278937430417033,0.0,0.0,0.28914285699910813,0.012445348974285647,0.05,0.0,0.14055838485194294,0.00575559578533615
low_rating_bottom20_raw,content_only_core,ExtraTreesClassifier,0,2704.0,0.0,5,0.22241124260355027,0.003209155791407777,0.39362595027168,0.018397212505095108,0.6911476182838303,0.016896021893633355,0.5176470588235295,0.03624634571725365,0.46715867158671587,0.02371405020377807,0.41774491682070247,0.025811903962604354,0.11700615737804587,0.0069942104593924016,0.21047490020046275,0.009374801985970866,0.3756617515674493,0.019887592533085852,2.326357717281147,0.1390613608985079,2.1000890411145807,0.09354045966813739,1.8776143738232587,0.0994012018659229,0.21936361489654352,0.005696677026022086,0.1635306782952088,0.051459230084388,0.53,0.02738612787525833,0.16883456374730793,0.0016432563258101359
low_rating_bottom20_raw,content_only_core,ExtraTreesClassifier,25,1480.0,0.0,5,0.16905405405405405,0.008485044635648963,0.42030811262926493,0.03265413796750496,0.7660822008014451,0.012991098045091621,0.581081081081081,0.0668884793014302,0.48243243243243245,0.03398588199988999,0.4027027027027027,0.037422308124454025,0.17184723266528232,0.01762208803846838,0.28600715906967306,0.025857691477790722,0.4759398224506701,0.028008266020868738,3.436944653305646,0.3524417607693683,2.8600715906967307,0.2585769147779073,2.379699112253351,0.14004133010434414,0.22082690931059729,0.01592724822304986,0.13023156946584855,0.014233272519188997,0.55,0.0,0.12976330640048012,0.003495199010698075
low_rating_bottom20_raw,content_only_core,HistGradientBoostingClassifier,0,2704.0,0.0,5,0.22241124260355027,0.003209155791407777,0.39267067594711796,0.012553393834803151,0.6894044020040468,0.006224648080008437,0.5382352941176471,0.039391456576408454,0.47011070110701103,0.0263004128135874,0.4155268022181146,0.014519287901408849,0.12167098749742145,0.007947840299080827,0.21174482960389202,0.00909704801161226,0.3737146595573806,0.008224997847840183,2.4191055161252026,0.15802176594643058,2.112760218630716,0.090769069459039,1.867882512833932,0.04110978591600714,0.14049645312055994,0.030779384056578134,0.39352827063032614,0.011728516365455358,0.3,0.0,0.15876653758913156,0.001258411511726325
low_rating_bottom20_raw,content_only_core,HistGradientBoostingClassifier,25,1480.0,0.0,5,0.16905405405405405,0.008485044635648963,0.4097185430430773,0.02899707582525248,0.750213378328612,0.015242030342355745,0.5945945945945945,0.06265958442902506,0.4864864864864865,0.05123564489224019,0.3932432432432432,0.0382667533503895,0.17618260640962496,0.020850136257804516,0.28756250406272776,0.023208872884039684,0.46465268153537,0.029710308780392714,3.5236521281924995,0.4170027251560903,2.8756250406272774,0.2320887288403971,2.32326340767685,0.14855154390196362,0.22053325501225046,0.026156596659925056,0.37137521806625784,0.02768529613509367,0.30999999999999994,0.022360679774997887,0.1236140188386935,0.004298957903428553
low_rating_bottom20_raw,content_only_core,LogisticRegression,0,2704.0,0.0,5,0.22241124260355027,0.003209155791407777,0.37065028933952954,0.017748233619420913,0.678598714034133,0.011873011492127187,0.4985294117647059,0.006151911959809357,0.4487084870848708,0.04650032177719073,0.388909426987061,0.02405089342968452,0.11275373878674728,0.001993281260363651,0.2022396115666834,0.02111339814064736,0.34994785390208716,0.022744696736849573,2.2418096299953283,0.03963112152958298,2.01791848589045,0.21066652609708655,1.7490924158063657,0.11368144173094498,0.22036378805776616,0.019979163712302454,0.42108641701579047,0.009679965289776219,0.25,0.0,0.1632495404892595,0.003015311156967272
low_rating_bottom20_raw,content_only_core,LogisticRegression,25,1480.0,0.0,5,0.16905405405405405,0.008485044635648963,0.38598413471090753,0.024372847496326618,0.7405142251759856,0.015450334733086954,0.5216216216216216,0.04008755938970628,0.4743243243243243,0.036511502935422394,0.3716216216216216,0.03318730186552111,0.1544406783553507,0.012118167714392935,0.28113273089341084,0.02577721151084998,0.43921217846178706,0.023514429286586872,3.088813567107014,0.24236335428785885,2.8113273089341084,0.25777211510849973,2.1960608923089353,0.1175721464329347,0.30851511846587376,0.03766088153656645,0.41266785400326517,0.027553371449738857,0.25,0.0,0.12798061197202035,0.00465110017128378
low_rating_bottom20_raw,content_only_core,LogisticRegressionBalanced,0,2704.0,0.0,5,0.22241124260355027,0.003209155791407777,0.3695792068798972,0.019048299820596182,0.6792700697967249,0.012837602685890062,0.4970588235294118,0.020535647123189605,0.4531365313653136,0.03926032790633322,0.38964879852125694,0.023285801890238114,0.11242513812263262,0.004961541137401756,0.20423010473364717,0.017865621162145226,0.3505772300856315,0.02147178170374222,2.2352762756146958,0.0986471120259878,2.0377793476006714,0.1782606628134342,1.7522381333670012,0.10731921945826055,0.4306713403247726,0.012252695561585786,0.43002180984970906,0.012631042929016146,0.51,0.022360679774997918,0.2224333920692915,0.0030455027694464456
low_rating_bottom20_raw,content_only_core,LogisticRegressionBalanced,25,1480.0,0.0,5,0.16905405405405405,0.008485044635648963,0.37837697467378384,0.022264546572675157,0.7378112207529162,0.015243290758555069,0.5054054054054055,0.043369747394273545,0.4621621621621622,0.037498478177058404,0.3689189189189189,0.02759123917445326,0.14993446186803377,0.017237095656951293,0.2738472068431809,0.02509915478129011,0.43641524420544775,0.022968751783981722,2.9986892373606757,0.3447419131390259,2.738472068431809,0.25099154781290073,2.1820762210272386,0.11484375891990861,0.41086812000632966,0.01869172170474658,0.4133834306479681,0.0167506863314326,0.5800000000000001,0.04472135954999577,0.19922484281492675,0.005670914965284205
