target,feature_set,model,min_rating_count_filter,n_obs_mean,n_obs_std,n_runs,positive_class_share_mean,positive_class_share_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,precision_at_5_mean,precision_at_5_std,precision_at_10_mean,precision_at_10_std,precision_at_20_mean,precision_at_20_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std,recall_at_20_mean,recall_at_20_std,lift_at_5_mean,lift_at_5_std,lift_at_10_mean,lift_at_10_std,lift_at_20_mean,lift_at_20_std,default_f1_mean,default_f1_std,tuned_f1_mean,tuned_f1_std,best_threshold_mean,best_threshold_std,brier_score_mean,brier_score_std
low_rating_bottom30_bayes_category_m25,content_quantity_plus_reliability,XGBoostClassifier,25,1480.0,0.0,5,0.2913513513513514,0.0027611914515814164,0.5900163364903975,0.010294835957656328,0.7701047465974344,0.005350168731668518,0.7945945945945946,0.042087598655128206,0.6945945945945946,0.021043799327564124,0.6121621621621622,0.020043779694853093,0.13636675581592586,0.007179365827059004,0.23844746304542142,0.008549993781771792,0.4203273238696932,0.016784424270428963,2.727335116318517,0.14358731654117987,2.384474630454214,0.08549993781771796,2.101636619348466,0.08392212135214475,0.4259881349604419,0.023242195439042723,0.5272224970489295,0.011288344751269865,0.4,0.0,0.16653096973896026,0.002345550380545416
low_rating_bottom30_bayes_global_m25,content_plus_reliability,XGBoostClassifier,25,1480.0,0.0,5,0.31324324324324326,0.004932895202282159,0.5769362595272334,0.015843879001395795,0.7476988308974852,0.008717098489638374,0.7405405405405405,0.07727555921889624,0.6891891891891893,0.035432731357099706,0.6081081081081081,0.02702702702702702,0.11810070573363433,0.010971523763639805,0.21997187264318394,0.009610357062761248,0.38842228993684336,0.02026513216479231,2.3620141146726867,0.21943047527279594,2.199718726431839,0.09610357062761245,1.9421114496842165,0.10132566082396163,0.4303980517361885,0.020504685089116126,0.5298295433654332,0.011599923441552633,0.4,0.0,0.17948122918605805,0.0019963176195628555
low_rating_bottom30_raw,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,25,1480.0,0.0,5,0.2641891891891892,0.0,0.5604710872157466,0.016954703550878848,0.7760558385529323,0.012760164835940243,0.7648648648648649,0.054558457400503656,0.6432432432432432,0.01934840684226533,0.577027027027027,0.02779730058205976,0.14475703324808184,0.010325641554059514,0.24347826086956523,0.007323693638504537,0.4368286445012788,0.021043480747543968,2.8951406649616365,0.2065128310811905,2.434782608695652,0.07323693638504533,2.1841432225063935,0.10521740373771975,0.38419363958355657,0.013951706566700101,0.49770859419743047,0.022326807524040933,0.4,0.0,0.15728965997695923,0.0033075396653774116
low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,0,2704.0,0.0,5,0.29770710059171596,0.0029119851605073142,0.5500532222572883,0.02878998661261832,0.7350616052267396,0.012443554484974641,0.7367647058823529,0.06376318643729059,0.6708487084870849,0.040707646850248295,0.589648798521257,0.019779052272673472,0.12442191014402808,0.009934658085534008,0.22577733070754452,0.012084792887833871,0.3962503395512321,0.011720961342178938,2.473800331098911,0.19752437840649983,2.2527745469859797,0.12058036888820213,1.9805192572024612,0.058583141347970116,0.38316859133167364,0.015222907538417933,0.5255765499639896,0.012032175635789764,0.35,0.0,0.17770765125751495,0.0033314286257239947
low_rating_bottom30_raw,full_content_quantity_interactions_plus_reliability,XGBoostClassifier,0,2704.0,0.0,5,0.3021449704142012,0.0,0.5259664671446627,0.019266008461096155,0.7180475312954252,0.009237890215509722,0.6897058823529412,0.042367236149670376,0.6250922509225092,0.02510852521948933,0.5548983364140481,0.012288924316890715,0.11481028151774786,0.007052563177913307,0.20734394124847003,0.008328531621152505,0.3674418604651163,0.008137463960144269,2.282698538411693,0.14022155024321756,2.0688487717190513,0.08310092067747761,1.8365301121953315,0.04067227827768968,0.3397109220548709,0.010957257686564541,0.5015918206452421,0.02883497989304684,0.36,0.022360679774997918,0.18390292525291443,0.0025860302573124236
low_rating_bottom30_bayes_global_m25,content_quantity_plus_reliability,XGBoostClassifier,0,2704.0,0.0,5,0.2970414201183432,0.0043001307259611455,0.5220455981213048,0.011232223692650922,0.7063962954562258,0.007213474924647151,0.7102941176470587,0.0282873295024579,0.6346863468634687,0.0254318242658491,0.5670979667282809,0.020558318245322428,0.12030822278706235,0.005654445874794621,0.21417542459578326,0.009048688838879668,0.3818833250023068,0.008689912483934654,2.392010547178063,0.11242368856944619,2.1370123546383684,0.09028654841450419,1.9087107408618071,0.04343349973485993,0.35949988595416277,0.01672998043764418,0.5015917464031698,0.014403924473600014,0.35,0.0,0.18353776931762694,0.0011060104702684248
